aname,score,score_low,score_high,rank,rank_low,rank_high
sarsa-parl2,0.4623020814324715,0.45615406073303083,0.4659389927911056,1,2,1
q-parl2,0.4523187959071107,0.4463127948707342,0.4633392328275318,2,2,1
ac-parl2,0.15780912545402412,0.14632149442972314,0.16259316488056036,3,3,3
sarsa-scaled,0.09301333710469792,0.08738443433457412,0.09625781256651066,4,5,4
ac-scaled,0.08513668390499511,0.08002058391978417,0.08813740205357268,5,7,4
sarsa-normal,0.0830895078100108,0.07755373914508348,0.08634443201636323,6,7,5
ac-normal,0.07846770516460083,0.07389121788291529,0.08156691561771809,7,7,5
qlambda-scaled,0.06886919926774149,0.06514984351194365,0.07116153454564504,8,9,8
qlambda-normal,0.06401653790639289,0.060427578734211215,0.06648062895149615,9,9,8
nactd,0.05157417461270635,0.04932005523249517,0.0533321935365,10,11,10
ppo,0.05080829207380103,0.04879777062593413,0.052461236095420465,11,11,10
