aname,score,score_low,score_high,rank,rank_low,rank_high
sarsa-parl2,0.4623020814324715,0.39044468035647595,0.5537407496150881,1,2,1
q-parl2,0.4523187959071107,0.37823270855129065,0.5632687522970472,2,2,1
ac-parl2,0.15780912545402412,0.07654437637053363,0.3129411454389458,3,11,3
sarsa-scaled,0.09301333710469792,0.033725128180844166,0.22759917983019679,4,11,3
ac-scaled,0.08513668390499511,0.030508684132541083,0.21459049462874105,5,11,3
sarsa-normal,0.0830895078100108,0.02897752236464263,0.20194534148629859,6,11,3
ac-normal,0.07846770516460083,0.027505534844781545,0.2033378781153863,7,11,3
qlambda-scaled,0.06886919926774149,0.023735256724029007,0.19732782844911592,8,11,3
qlambda-normal,0.06401653790639289,0.02144809516342422,0.17804060791612605,9,11,3
nactd,0.05157417461270635,0.018024358243226454,0.1636111909626984,10,11,3
ppo,0.05080829207380103,0.01689263623474437,0.1748775885871175,11,11,3
