aname,score,score_low,score_high,rank,rank_low,rank_high
sarsa-parl2,0.4623020814324715,0.4489286504433667,0.47443593338908757,1,2,1
q-parl2,0.4523187959071107,0.4350358073156511,0.48392300156863893,2,2,1
ac-parl2,0.15780912545402412,0.1275260899157576,0.1776925564743218,3,3,3
sarsa-scaled,0.09301333710469792,0.07765766401081957,0.10560177021701292,4,8,4
ac-scaled,0.08513668390499511,0.0716438779009137,0.0964559028343263,5,9,4
sarsa-normal,0.0830895078100108,0.06923966506024007,0.09498889589280525,6,9,4
ac-normal,0.07846770516460083,0.06617025445959995,0.08950250268094087,7,9,4
qlambda-scaled,0.06886919926774149,0.05842309219883631,0.07906678879677528,8,11,4
qlambda-normal,0.06401653790639289,0.05411051970294425,0.07346845130631913,9,11,5
nactd,0.05157417461270635,0.043800399840120394,0.06090500737174166,10,11,8
ppo,0.05080829207380103,0.04499954616672781,0.06000824276958107,11,11,8
